,place,latitude,longitude
0,"Peabody, MA, USA",42.536457,-70.985786
1,"Northampton, MA, USA",42.328674,-72.664658
2,"Newton, MA, USA",42.341042,-71.217133
3,"Newburyport, MA, USA",42.810356,-70.893875
4,"New Bedford, MA, USA",41.638409,-70.941208
5,"Medford, MA, USA",42.419331,-71.11972
6,"Malden, MA, USA",42.429752,-71.071022
7,"Leominster, MA, USA",42.525482,-71.764183
8,"Lawrence, MA, USA",42.701283,-71.175682
9,"Holyoke, MA, USA",42.203217,-72.625481
10,"Greenfield, MA, USA",42.587334,-72.603416
11,"Framingham, MA, USA",42.280418,-71.423233
12,"Fitchburg, MA, USA",42.586716,-71.814468
13,"Everett, MA, USA",42.408623,-71.056999
14,"Chelsea, MA, USA",42.392925,-71.037109
15,"Amesbury, MA, USA",42.856842,-70.96344
16,"Takoma Park, MD, USA",38.981544,-77.010674
17,"Salisbury, MD, USA",38.36335,-75.605919
18,"Rockville, MD, USA",39.086437,-77.161263
19,"Hagerstown, MD, USA",39.644207,-77.73143
20,"Greenbelt, MD, USA",38.998318,-76.896332
21,"Cumberland, MD, USA",39.649109,-78.769714
22,"Cambridge, MD, USA",38.563461,-76.085251
23,"Aberdeen, MD, USA",39.514877,-76.17411
24,"Presque Isle, ME, USA",46.680672,-68.023521
25,"Portland, ME, USA",43.680031,-70.310425
26,"Lewiston, ME, USA",44.101902,-70.21711
27,"Gardiner, ME, USA",44.230553,-69.779633
28,"Eastport, ME, USA",44.90691,-66.996201
29,"Calais, ME, USA",45.188042,-67.282753
30,"Biddeford, ME, USA",43.489849,-70.469711
31,"Belfast, ME, USA",44.42477,-69.01062
32,"Bath, ME, USA",43.917503,-69.829712
33,"Augusta, ME, USA",44.331493,-69.788994
34,"Auburn, ME, USA",44.090008,-70.271439
35,"Thibodaux, LA, USA",29.795111,-90.82814
36,"St Martinville, LA, USA",30.124033,-91.833435
37,"Morgan City, LA, USA",29.706043,-91.206917
38,"Monroe, LA, USA",32.50993,-92.121742
39,"Gretna, LA, USA",29.916653,-90.057854
40,"Bastrop, LA, USA",32.778889,-91.919243
41,"Alexandria, LA, USA",31.284788,-92.471176
42,"Richmond, KY, USA",37.74688,-84.30146
43,"Paris, KY, USA",38.206348,-84.270172
44,"Owensboro, KY, USA",37.760586,-87.127686
45,"Newport, KY, USA",39.08897,-84.500786
46,"Middlesboro, KY, USA",36.616894,-83.739494
47,"Mayfield, KY, USA",36.739876,-88.646523
48,"Hodgenville, KY, USA",37.569702,-85.743095
49,"Hazard, KY, USA",37.250626,-83.195503
50,"Harrodsburg, KY, USA",37.76627,-84.852119
51,"Harlan, KY, USA",36.843681,-83.324593
52,"Frankfort, KY, USA",38.192902,-84.883942
53,"Elizabethtown, KY, USA",37.703224,-85.871674
54,"Covington, KY, USA",39.067719,-84.516426
55,"Campbellsville, KY, USA",37.344158,-85.346436
56,"Bowling Green, KY, USA",36.976524,-86.456017
57,"Berea, KY, USA",37.569199,-84.299782
58,"Bardstown, KY, USA",37.820415,-85.467949
59,"Barbourville, KY, USA",36.869038,-83.892479
60,"Ashland, KY, USA",38.460304,-82.649666
61,"Smith Center, KS, USA",39.779823,-98.787064
62,"Salina, KS, USA",38.826633,-97.616257
63,"Pittsburg, KS, USA",37.406769,-94.705528
64,"Ottawa, KS, USA",38.604465,-95.271301
65,"Osawatomie, KS, USA",38.497746,-94.960602
66,"Newton, KS, USA",38.047016,-97.350304
67,"Leavenworth, KS, USA",39.313015,-94.941147
68,"Lawrence, KS, USA",38.960213,-95.27739
69,"Junction City, KS, USA",39.026646,-96.852814
70,"Hays, KS, USA",38.88509,-99.326202
71,"Great Bend, KS, USA",38.364895,-98.7743
72,"Fort Scott, KS, USA",37.838108,-94.710022
73,"Emporia, KS, USA",38.405903,-96.188339
74,"Dodge City, KS, USA",37.753098,-100.024872
75,"Council Grove, KS, USA",38.661697,-96.492599
76,"Chanute, KS, USA",37.679878,-95.459778
77,"Atchison, KS, USA",39.563606,-95.125549
78,"West Des Moines, IA, USA",41.57983,-93.791328
79,"Webster City, IA, USA",42.464397,-93.829056
80,"Waterloo, IA, USA",42.499504,-92.358665
81,"Sioux City, IA, USA",42.495132,-96.40007
82,"Ottumwa, IA, USA",41.016621,-92.43055
83,"Oskaloosa, IA, USA",41.299023,-92.653198
84,"Newton, IA, USA",41.703957,-93.054817
85,"Mount Pleasant, IA, USA",40.969242,-91.55542
86,"Keokuk, IA, USA",40.407204,-91.410805
87,"Grinnell, IA, USA",41.746952,-92.729362
88,"Fort Dodge, IA, USA",42.512745,-94.188148
89,"Estherville, IA, USA",43.4035,-94.843323
90,"Dubuque, IA, USA",42.516033,-90.718506
91,"Council Bluffs, IA, USA",41.250854,-95.882042
92,"Clinton, IA, USA",41.827965,-90.249619
93,"Cherokee, IA, USA",42.754681,-95.557831
94,"Charles City, IA, USA",43.066807,-92.683464
95,"Burlington, IA, USA",40.810947,-91.131844
96,"Boone, IA, USA",42.06065,-93.88549
97,"Wabash, IN, USA",40.800262,-85.830887
98,"Vincennes, IN, USA",38.678299,-87.522491
99,"Valparaiso, IN, USA",41.483845,-87.063965
100,"Terre Haute, IN, USA",39.472298,-87.401917
101,"Shelbyville, IN, USA",39.524483,-85.786476
102,"Richmond, IN, USA",39.828354,-84.894196
103,"Plymouth, IN, USA",41.345619,-86.316971
104,"Peru, IN, USA",40.754417,-86.071426
105,"New Castle, IN, USA",39.924065,-85.379021
106,"New Albany, IN, USA",38.313908,-85.835434
107,"Mishawaka, IN, USA",41.66853,-86.173042
